a,e,i,o,u,y,ø,œ,ɑ̃,ɔ,ɔ̃,ɛ,ɛ̃,filename
0.0,0.1326530612244898,0.7244897959183674,0.0,0.0,0.10204081632653061,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,200_deux_cents
0.3469387755102041,0.0,0.0,0.0,0.0,0.0,0.15306122448979592,0.01020408163265306,0.02040816326530612,0.07142857142857142,0.0,0.0,0.3979591836734694,hareng
0.0,0.02040816326530612,0.0,0.32653061224489793,0.061224489795918366,0.0,0.20408163265306123,0.02040816326530612,0.08163265306122448,0.22448979591836735,0.0,0.061224489795918366,0.0,FR2200
0.0,0.01020408163265306,0.01020408163265306,0.5204081632653061,0.24489795918367346,0.0,0.0,0.0,0.0,0.19387755102040816,0.02040816326530612,0.0,0.0,GR236
0.2755102040816326,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.1836734693877551,0.5306122448979592,0.0,0.0,0.0,EN2908
0.24489795918367346,0.04081632653061224,0.01020408163265306,0.030612244897959183,0.030612244897959183,0.0,0.09183673469387756,0.32653061224489793,0.02040816326530612,0.05102040816326531,0.0,0.02040816326530612,0.1326530612244898,EN2680
0.01020408163265306,0.0,0.0,0.336734693877551,0.0,0.0,0.01020408163265306,0.1326530612244898,0.030612244897959183,0.30612244897959184,0.030612244897959183,0.08163265306122448,0.061224489795918366,FR3330
0.05102040816326531,0.0,0.0,0.42857142857142855,0.11224489795918367,0.030612244897959183,0.04081632653061224,0.08163265306122448,0.07142857142857142,0.11224489795918367,0.07142857142857142,0.0,0.0,FR1181
0.0,0.04081632653061224,0.7959183673469388,0.0,0.01020408163265306,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,jean
0.0,0.0,0.0,0.37755102040816324,0.2755102040816326,0.0,0.0,0.0,0.030612244897959183,0.3163265306122449,0.0,0.0,0.0,FR942
0.12244897959183673,0.14285714285714285,0.16326530612244897,0.01020408163265306,0.04081632653061224,0.030612244897959183,0.0,0.17346938775510204,0.061224489795918366,0.0,0.0,0.15306122448979592,0.10204081632653061,9_neuf
0.0,0.21428571428571427,0.17346938775510204,0.0,0.0,0.4897959183673469,0.030612244897959183,0.0,0.0,0.0,0.0,0.09183673469387756,0.0,GR492
0.030612244897959183,0.02040816326530612,0.1836734693877551,0.40816326530612246,0.09183673469387756,0.02040816326530612,0.01020408163265306,0.0,0.01020408163265306,0.15306122448979592,0.07142857142857142,0.0,0.0,GR195
0.0,0.061224489795918366,0.5,0.19387755102040816,0.0,0.16326530612244897,0.0,0.0,0.0,0.07142857142857142,0.0,0.01020408163265306,0.0,EN2496
0.0,0.0,0.0,0.37755102040816324,0.10204081632653061,0.0,0.0,0.0,0.16326530612244897,0.14285714285714285,0.20408163265306123,0.01020408163265306,0.0,FR-participant1_journee_FR2550
0.1836734693877551,0.0,0.030612244897959183,0.0,0.030612244897959183,0.0,0.0,0.0,0.16326530612244897,0.2755102040816326,0.11224489795918367,0.01020408163265306,0.19387755102040816,miroir
0.08163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,0.673469387755102,0.0,0.24489795918367346,0.0,0.0,0.0,GLO50
0.0,0.05102040816326531,0.1836734693877551,0.2857142857142857,0.10204081632653061,0.08163265306122448,0.1836734693877551,0.0,0.0,0.02040816326530612,0.04081632653061224,0.05102040816326531,0.0,EN1353
0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.37755102040816324,0.0,0.5510204081632653,0.0,0.0,0.0,EN1412
0.3979591836734694,0.0,0.01020408163265306,0.0,0.030612244897959183,0.0,0.030612244897959183,0.1326530612244898,0.030612244897959183,0.05102040816326531,0.030612244897959183,0.02040816326530612,0.2653061224489796,EN558
0.061224489795918366,0.04081632653061224,0.030612244897959183,0.0,0.02040816326530612,0.16326530612244897,0.5204081632653061,0.05102040816326531,0.0,0.0,0.0,0.061224489795918366,0.05102040816326531,TU126
0.0,0.21428571428571427,0.3979591836734694,0.01020408163265306,0.0,0.3163265306122449,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.0,EN2209
0.0,0.01020408163265306,0.0,0.6530612244897959,0.23469387755102042,0.0,0.0,0.0,0.01020408163265306,0.05102040816326531,0.04081632653061224,0.0,0.0,EN318
0.15306122448979592,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.5918367346938775,0.01020408163265306,0.061224489795918366,0.030612244897959183,0.061224489795918366,0.061224489795918366,EN543
0.4489795918367347,0.01020408163265306,0.12244897959183673,0.01020408163265306,0.030612244897959183,0.02040816326530612,0.061224489795918366,0.0,0.04081632653061224,0.1326530612244898,0.0,0.05102040816326531,0.07142857142857142,sac
0.11224489795918367,0.0,0.0,0.07142857142857142,0.0,0.0,0.01020408163265306,0.20408163265306123,0.01020408163265306,0.3877551020408163,0.04081632653061224,0.07142857142857142,0.09183673469387756,EN938
0.0,0.11224489795918367,0.1326530612244898,0.01020408163265306,0.01020408163265306,0.14285714285714285,0.5612244897959183,0.0,0.01020408163265306,0.0,0.0,0.01020408163265306,0.01020408163265306,FR422
0.0,0.01020408163265306,0.3469387755102041,0.1326530612244898,0.030612244897959183,0.09183673469387756,0.12244897959183673,0.0,0.0,0.08163265306122448,0.0,0.1836734693877551,0.0,EN652
0.02040816326530612,0.0,0.0,0.35714285714285715,0.35714285714285715,0.0,0.02040816326530612,0.0,0.20408163265306123,0.02040816326530612,0.02040816326530612,0.0,0.0,FR1532
0.01020408163265306,0.22448979591836735,0.3163265306122449,0.0,0.0,0.29591836734693877,0.0,0.0,0.0,0.0,0.0,0.15306122448979592,0.0,FR2362
